title,desc
Blue Moon (2006),"Corazon (Boots Anson Roa), an old Filipina who lives in Boston, wrote to each Manuel Pineda in her home a letter. She hopes to find her love again. In the Philippines experiences of the old Manuel Pineda (Eddie Garcia), meanwhile, that he has cancer and has only months to live. He goes in search of his Corazon.There were two Corazons in his life: before the Second World War, he spent (Mark Herras) and his buddy Domingo (Polo Ravales) a lot of time with the shy ""Cora"" (Jennylyn Mercado) and the lively "" Azon ""(Pauline Luna)."
Sukob (2006),"Sandy and Phil, both Overseas Workers in Dubai, are busy preparing for their wedding. Upon reaching her home, Sandy learns from her mother, Daisy, what happened to her friend, Helen. A short time after Helen's father died, Helen proceeded with her wedding. A few weeks after the wedding, Helen's husband dies in a plane crash. As Helen goes to the crash site, she dies in a bus accident. A few weeks later, Helen's mother suddenly disappears inside her house. Their bodies have never been recovered. Sandy proceeds with her own wedding. During the ceremony, she suffers from nosebleed and starts seeing glimpses of a ghostly flower girl."
Moments of Love (2006),"Marco has found the perfect girl in Divina. Though they've only spoken on the phone, they're convinced they're meant to be together. One problem: Divina's living in 1957 and Marco in 2006."
An Actor Remembers (2006),"In 1988 and 1989, the late Cesar Hernando, writer Ian Victoriano and I started a series of interviews of LVN actors, directors and technicians with the intention of publishing a book on the story of LVN Pictures, one of the major studios of the studio era. One of our interviewees was the great character actor, Joseph de Cordova. In 2006 I made a short documentary using excerpts from that thoroughly engaging interview and included it as an added feature to the privately authored DVD of “Biyaya ng Lupa,” where Joseph plays Bruno, one of the actor’s most memorable roles."
The Haircut (2006),"A film about vanity, delusion, and how the customer is always right."
ZsaZsa Zaturnnah Ze Moveeh (2006),"After experiencing heartache, Adrian a.k.a. Ada - a conservative homosexual, leaves the city with his cousin Aruba. Relocating to a quaint province to start a new life and a parlor business, she meets her assistant Didi, her new secret love Dodong and a multitude of wacky characters including Dodong's brother Poldo, the peculiar couple Aling Britney and Mang Justin and her arch-rival when it comes to Dodong's affections Krystal. When a mysterious stone engraved with the words ""Zaturnnah"" falls from the sky one night, Ada gulps it down and he is magically transformed into Zsa Zsa Zaturnnah, a super heroine with immense strength and extraordinary beauty. In the pursuit of liberty, truth, justice and loads of excellent hair coloring, she fearlessly defends her newfound home from a giant frog, zombies running amok and from the overbearing Amazonistas from Planet X led by man-hater Queen Femina."
Eternity (2006),"Eternity is an epic romance about a pair of star-crossed lovers Crisanto and Milagros and how true love transcends different lifetimes. In the face of family hostilities and atrocities, the two continue to fight for their love until the bitter end. Cholo and Maegan are two different people with different backgrounds, finding each other as if by fate. It's as if they've known each other all their lives! But the young lovers' romance is thwarted by their respective families' deep-rooted dislike for each other. Will history repeat itself? Or will love finally conquer all the odds this time around?"
First Day High (2006),"The journey in solving the greatest mysteries of life begins on the first day of school. Brainy Indy, MVP MJ2, Sosy Pre, Rebel Gael and Nice Guy Nathan are college freshmen who enter FDH University without knowing what college life will bring them. Until they all got involved in the biggest mystery the university has ever encountered- B.W.A.C.A. or Basketball Water Contamination Accident. Initial investigation shows that the water drank by the players during the game was contaminated by a mysterious substance."
Carpool (2006),Jerrold Tarog's award-winning 2006 short film on friendship and infidelity.
Mano Po 5: Gua Ai Di (2006),"A culinary romance set in Binondo, where Chinese traditions are still very much observed, Mano Po 5: Gua Ay Di is a touching story of how a young Chinese woman fights for the man she loves. She is doomed by strict family traditions to only wed someone of pure Chinese descent. But Charity finds love where she was not supposed to find it... at least according to her cold-hearted mother. Despite being met with resistance by her traditional Chinese family, most especially her mother, Charity continues her relationship with Nathan. Nathan, on the other hand, proves himself and his love to her by making an effort to learn about her background, culture and language resulting into various mishaps, sometimes comical and other times just plain disastrous. Charity finds solace in the kitchen, her cooking interwoven with the story of her ill-fated romance. Will true love prevail in the end? And will she be able to come up with the perfect recipe for love?"
Super Noypi (2006),"In this offbeat Filipino fantasy, six teens find themselves cast in the role of world saviors when the vengeful villain Diego abducts their parents... who happen to be the fabled superheroes known as the Noypi. Along with martial artist Lia—sent from the future to help the youngsters discover and hone their inherited powers—can the kids save their parents from doom and deliver the planet from evil?"
Astig (2007),Short film spinoff of CONFESSIONAL featuring one of the minor characters.
Tribe (2007),"In the darker side of Manila-by-night, tribes of youthful gangsters roam the streets in search of quick fixes and precarious thrills. World-weary Tondo throbs to the beat of of hiphop and freestyle gangsta rap, and to the scents and sensations of drugs and sex and violence. We witness this crepus-cular underworld through the eyes of ten-year-old Ebet. We follow him as he witnesses the deadly lives of teen age gang members in Tondo and the events that lead to their explosive confrontation."
Rolyo (2007),"In between harvests, to supplement their income, Judith is sent by her father to catch birds which they would peddle come Sunday outside the church. On their trip to the city, Judith requests that they watch a movie after selling off all the birds. What Judith gets in return is a torotot (trumpet) made out of rolled-up film negatives. The story is set in Bikol where it is a practice among rural folks to surround the perimeter of their farmlands with film negatives to ward off birds eating the newly sown palay seeds."
A Love Story (2007),"Ian Montes is a picture of success. Despite being a son of a shipping tycoon, Ian refused to just ride in his father's empire. He built his own real estate company and earned his first million at a very young age. He never looked back since then. Driven by his ambition to become better, if not as good as his father, Ian managed to make it on his own. But behind all the glory is a man yearning for love and recognition."
One More Chance (2007),"Popoy and Basha had been together forever. Their love story began when they first met as students at university. They had been inseparable and did everything together—eating, studying and attending parties. However, Popoy's incessant planning and nagging took a toll on their relationship leading Basha to break-up with him."
Confessional (2007),"A documentary filmmaker from Manila sets out to cover the Sinulog Festival in Cebu, but gets in over his head when he meets a retired, corrupt politician who is ready to tell all."
"Sakal, Sakali, Saklolo (2007)","Newlywed Jed and Angie this time, they have to take care of their son Raffa with parents who are all too eager to share the job with them. Compounding the problems are Jed having to deal with a hypochondriac mother, Angie having to deal with her mom dating a ""balikbayan"" guy, and the usual jealousy problems hounding married couples."
Bahay Kubo: A Pinoy Mano Po! (2007),Bahay Kubo: A Pinoy Mano Po! is a 2007 Regal Productions movie starring Maricel Soriano and Eric Quizon. The movie is one of the official entries of the Metro Manila Film Festival.
Desperadas (2007),"The story is about four beautiful half-sisters - Isabella, Courtney, Stephanie and Patricia - who have problems in their personal life. Isabella has issues with commitment, Stephanie is having problems with her husband Richard, Courtney's boyfriend Patrick becomes a Born again Christian and Patricia publishes her new sex book much to the dismay of her husband who's having trouble with their relationship as a couple."
SupahPapalicious (2008),"In order to win the love of his life, Adonis has to win over her only son. The son has decided that the only kind of man good enough for his mother is a man with a big family. Adonis, with the help of some friends who work in special effects, must now pretend to be a whole cast of characters of Adonis’ imaginary family, and convince the son that Adonis is good enough."
For the First Time (2008),"Two lovers spend an unforgettable summer in Greece, but their differences threaten to break them up."
Affliction (2008),A young girl develops an unknown infection that causes her to evolve into a horrifying monster.
UPCAT (2008),A story of two high school senior students who believes passing the UPCAT will help make their dreams of becoming successful come true.
Love Me Again (2009),"Arah dreams of a better life different from the life she knows in Bukidnon. Ranches everywhere are closing one by one. The glory her hometown once knew was slowly disappearing in favour of life abroad, particularly in Australia. Arah believes this too. Australia will save them from poverty. But Migo does not share this belief. He believes that Bukidnon’s glory will return if only people didn’t leave. Migo is Arah’s first love."
BFF: Best Friends Forever (2009),Best Friends Forever (BFF) is the 16th year anniversary presentation of Star Cinema starring the Megastar Sharon Cuneta and the Comedy Queen Ai Ai delas Alas. Sharon and Ai Ai will be playing as best friends in this comedy film helmed by box-office director Wenn Deramas of Tanging Ina and Ang Tanging Ina N’yong Lahat.
And I Love You So (2009),"When Lara lost her husband of five months, she didn't think she could go on living, much less love again. Now, seven months later, Lara is still in mourning. Every time a loved one died, someone else was there to cushion the blow. When her mother followed six years later, there was the rest of the family. But when her husband died, no one could offer any consolation - not her siblings, not her in-laws, not her friends. Not only was he the love of her life, he had also become her life. It would have been better if she died with him. In the meantime, her business -has taken a nosedive. She's also deep in debt with her unpaid condo and car mortgages. With all her predicament, how would Oliver and Chris figure in her life? Will she finally move on?"
In My Life (2009),"Shirley is a woman who wants to be in control of everything. Working as a librarian in a public school, a firm ""Sshhh!"" from her makes the students tremble in fear. But in her family, her unwarranted intervention in the lives of her children and their families keeps her emotionally detached from them. Realizing that she has lost the command she once had, she goes to New York to reunite with Mark , her estranged gay son who is now suffering from colon cancer. But Shirley doesn't know this and living with Mark in New York comes with a cost. She has to live with her son's lover Noel who is an illegal immigrant. Everything is going right until circumstances forces Shirley to go back to the Philippines. Now that she's back with her family, she realizes that something is wrong she is not happy."
Karoler (2009),A lonely video editor falls victim to a curse whose messenger brings death through a Christmas carol.
"Si Baning, si Maymay at ang Asong si Bobo (2009)","A story of a small seaside neigborhood seen in the eyes of youngsters Baning, her bestfriend Maymay and her brother Paeng. Bobo happens to be their drunkard neighbor’s pet dog."
The Arrival (2009),"The film is about Leo (Dwight Gaston), a single diligent company bookkeeper, who one day decides to take a leave from his humdrum routine office work and travel from Manila to Murcia, Negros Occidental to literally find his dream girl. Every now and then, Leo in his sleep sees a sultry woman in a flowing summer dress walking to him in slow motion and about to kiss him. In Murcia, he fails to see his imagined lady love but he meets someone else, Melanie (Marilou Kho), a single mother who works in the town’s municipal office."
"I Love You, Goodbye (2009)","All her life, Lizelle Jimenez has always searched for love. When she met Dr. Adrian Benitez, she couldn’t ask for more. He showered her with love and affection and she has never felt so special. There is one thing Lizelle is struggling with as they live together- fitting in Adrian’s world. Coming from humble beginnings, Lizelle finds it difficult to belong."
Mano Po 6: A Mother's Love (2009),"Melinda Uy is a half-Filipino, half-Chinese struggling mother to four children married to a full-Chinese blood man. Her family was believed to bring curse to Olive's famiily. Because of this, Melinda was not accepted by Uy's family as one of their members. Melinda's struggling as a mother begand when she has nothing else to do but to strive and work more."
Working Girls (2010),"Continuing the tradition of national artist Ishmael Bernal's benchmark film Working Girls after 25 years, Working Girls of 2010 depicts the role of women in the new millennium. Seven women of different backgrounds, stories and personalities entwined in a colorful story of family, love and life."
Here Comes the Bride (2010),"Stephanie is a beautiful, sweet, and pampered bride who's so in-love with her rich beau Harold. Harold is Stephanie's first boyfriend and true love. Despite their constant petting, she is reserving herself for their honeymoon. During their wedding day, a total eclipse occurs triggering the high magnetic field on the road going to the beach resort. As the guests and the bride travel to the venue, a freak car accident happens causing a major soul swap."
Faculty (2010),Two teachers from a private college clash on their opposing views on education.
Pink Halo-Halo (2010),"Natoy, like any other child, finds joy and excitement in the simplest of things, especially in eating halo-halo filled with pink gelatin and red sago. Things change suddenly when, as he is watching television, a news report about the ongoing war in Mindanao shows footage of a badly wounded soldier waiting to be rescued. That soldier, almost bleeding to death, is his father, Corporal Lino Bolante. This starts his journey as he and his mother Sonia wait for help that comes too late. This story does not only show how the war in Mindanao robs a child of his innocence, but also shows the shadows of war that Filipino homes confront everyday."
Cinco (2010),A creative horror movie made up of five unique short films tied together by a similar theme.
Hating Kapatid (2010),"Rica has been very protective of her sister Cecil even giving up her one true love Bong JC de Vera for her sisters future and after a freak accident 8 years ago at their little Party store for Fireworks, but as they grow up under the care of their grandmother Gina Pareño their parents comeback Tonton Gutierrez and Cherry Pie Picache as they comeback and they are all grown up Rica has a fear that she's losing Cecil's love as a sister and who raised her like a parent, and even falling in love for Edzel Luis Manzano will the sisters grow apart after having people come into their lives?"
In Your Eyes (2010),"Ciara is a senior physical therapist who works for a rehabilitation center in the United States. She has devoted her entire life to her younger sister Julia who was left in her care after the untimely demise of their parents. After 8 years of separation, Ciara and Julia reunite when the latter acquires her student visa. Storm, Julia's boyfriend who earns a living as a freelance photographer, joins Julia despite the lack of a definite plan. In a desperate move for Storm to gain immigrant status, Julia asks Storm to enter into an arranged marriage with Ciara, who is already an American citizen. As Storm struggles to find his place in a foreign land, Julia works hard to chase after her own dream of finishing school, causing the two of them to drift apart."
Mamarazzi (2010),"Fifteen years ago, Violy Langit (Eugene Domingo), an owner of a small funeral parlor, learns that she is suffering from a medical condition that requires her to undergo a hysterectomy. All her life, she’s wanted to have children, and she realizes that she has to do it before the procedure. But Violy has no man in her life – no husband, no boyfriend, no suitors. She seeks the help of her gay best friend, Mandy (John Lapus). Out of pity and love for Violy, Mandy offers his boyfriend, Carlo (Diether Ocampo) to serve as a sperm donor."
Petrang Kabayo (2010),"Peter Kasimsiman was once a submissive son to his parents. But losing his mother at a tender age, left him with an abusive father who only knew of tending to his carriage horse, Brown Beauty. Peter is eager to win the love and attention of his indifferent Tatay. But an unfortunate incident forces him to run away from home. His horrible life starts to change its course when he meets the nurturing haciendera Helena who provides him shelter and unconditional affection he knew his father would never be able to give. Helena teaches Peter love and kindness, grooming him as the sole heir to the hacienda in the event of her death. Albeit fueled with the guidance of the good-natured foster mother, who's known for her passionate concern for her employees, Peter has an intolerable bad temper especially towards her mother's loyal servant, Maita and the latter's beautiful and gifted daughter, Samantha."
White House (2010),"6 eager contestants enter a pinoy horror-reality show to survive till daybreak of horror inside the famous Laperal White House in Baguio City. A million pesos is at stake but as the first night draws to a close and each one is being found dead, everyone realizes their lives are also on the line. It is up to spirit medium Jet (Gabby Concepcion) to find out what exactly is going on and who is the real enemy among he many ghosts that haunt the place, which includes a powerful Black Lady who abducted the soul of Jet’s only daughter. A chance of a lifeline with no lifelines… who will survive in the end?"
The Water Tank (2010),"In a country where an estimated 17million Filipinos still do not have sustained access to potable water, a little town expresses their gratitude for the blessings their water tank has given them"
Senior Year (2010),A high school movie featuring a mix of real students and professional actors that deals with the experience of finding one's identity in a country that barely has one.
Ang Tanging Ina Mo: Last na 'to! (2010),"A few months after Ina left the position as the President of the Philippines, she is back in the media limelight as she releases a book of her life in her journey as a mother to her children and as a mother to the people of the Philippines. Ina now lives a simple life with her beloved children, together with her long-time best friend, Rowena."
Father Jejemon (2010),"Father Jeremiah Jerome Montes has been asked by his old friend Father Baby to help him run the parish of Parmbil. Father Jejemon, as he’s known, has a knack for connecting with the young people of the community. But as soon as he gets there, he only encounters resistance. Father Baby’s sister Violetta doesn’t seem too keen on Father Jejemon running things. Worse yet, the ruthless businessman who owns the town has his sights on demolishing the Church in order to make way for a golf course. But Father Jejemon soldiers on, helping people out and showing them a new way to do things."
Super Inday and the Golden Bibe (2010),"Super Inday and the Golden Bibe is a remake of the original 1988 movie starring Maricel Soriano & a fantasy-adventure flick official entry to 36th Metro Manila Film Festival–Philippines 2010 of Regal Entertainment co-produced with Regal Multimedia, Inc. on December 25, 2010. This stars Marian Rivera as Super Inday and John Lapus as the Golden Bibe."
Ex Press (2011),Two men take a train ride to find out the truth about their father.
Silent Film (2011),"Black-and-white sequence of contemporary urban life, jittery images recorded by a 1940s motion-picture camera, and a sleepy narration of words, written by Filipino poet and singer Lourd De Veyra."
Bulong (2011),"Hospital worker Conan (Vhong Navarro) is hopelessly in love with a sexy and beauteous nurse named Ellen (Bangs Garcia). He is on friendly terms with the alluring lady but gets desperate when he sees her kissing a resident doctor. The jealous guy seeks the help of his friends and learns about the power of a wish whispered to the dead. He scampers off to a wake and surreptitiously opens the casket. In a barely audible way, he whispers: Mahalin ako ni Ellen."
Mayohan (2011),"May is the month dedicated to the Blessed Virgin Mary, mother of Christ. In Infanta, Quezon, locals turn each of the 31 days of May into a charming honor not only to celebrate good harvest in their agricultural setting, but also to pay tribute to the virginal virtues of the Mayohan. Every month of May, a padasal or series of novenas commences to mark the beginning of Mayohan. This will culminate in a Pasayaw or Tapusan in every purok of each barangay. A system of ambagan or donation ensues for the festivities to take place."
Tumbok (2011),"Bad fortune and strange events plague newlyweds (Cristine Reyes, Carlo Aquino) who recently inherited a condominium located in a place many consider unlucky."
Temptation Island (2011),"Four beauty pageant contestants, who are vying for the coveted title of ""Miss Manila Sunshine"", set sail on a yacht. They ended up stranded on a deserted island after their vessel got caught up on fire. Together with an attractive young man, a maid and the gay pageant director, the four ladies found life ""anything but dull""."
The Adventures of Pureza - Queen Of The Riles (2011),"The story revolves with Pura, (Melai) who plays the comedic role of a bubbly, caring, kind-hearted, very hardworking “dakilang ate” who wants nothing but only the best for her one and only beloved brother, Ulam, and uplift their dismal life. In all her endeavors, Pura’s best friend, Ruben (Jason Francisco), has always been by her side. Pura and Ruben then stumbles into a one-time big time opportunity to usher a Brazilian model who manages to escape them. With this unfortunate turn of event, Pura steps into the role … literally. She is now the model Pureza Mayriles! Basking in the promise of a better fortune plus a serendipitous love, little did Pura know that she has dragged herself into a life-threatening mess? Now running for their lives, Pura and Ruben has to detangle themselves from the dangers that faces them and how! Read More: The Adventures of Pureza: Queen of The Riles Trailer | Pinoymovieblog.com Under Creative Commons License: Attribution Share Alike"
Manila Kingpin (2011),"Mobster Asiong Salonga (ER Ejercito) rules the mean streets of Manila with an iron fist—until he is betrayed by a trusted friend. Manila Kingpin is based on the story of the notorious Tondo, Manila, gang leader Nicasio “Asiong” Salonga, whose true-to-life accounts had been portrayed in several movie versions since 1961 (starring Joseph Estrada). It is also the first Filipino major film produced in black-and-white in the 21st century as well as the returning action genre movie. Before the film was shown, Tikoy Aguiluz requested the producers, through his lawyers, that his directorial credits in the film and promotional tools be removed because the final version of the film can no longer be described as his after the producers made a reedit, re-shoot and music mixing without his involvement. He also demanded that he be allowed to make a director's cut of the film."
Every Other Time (2011),a short film by Gino M. Santos.
Agusan Marsh Diaries (2011),A travelogue documentary about the Agusan Marsh Wildlife Sanctuary
Agawan Base (2011),"A documentary film director whose agnosticism wavers while covering a 12-year old boy from the slums whose blind faith in God helped them fight back at the two most corrupt, but leading candidates in the coming presidential elections."
Elegy to the Visitor from the Revolution (2011),"Deliberately structured and less beholden to its narrative, the film is told in three parts, with each part pertaining to each of the three visits of the time-travelling visitor from when the country was fighting for independence from Spain."
Aswang (2011),"In this movie, the abuwak race is being threatened by extinction. The only way they can grow in numbers again is through the rare ability that only the soon-to-be queen of the abuwaks, Hasmin (Lovi Poe) possesses."
My Paranormal Romance (2011),"A girl named Merry Pascual, a typical college girl, who wants to finish her academic studies in the toughest and most respected institutions in the country, Super Hard University. Her life turned when she transferred to a boarding house owned by Miss Edwina. Little did Merry know that Miss Edwina has the power to see spirits from another reality. Until Miss Edwina got caught in an accident, Merry was the successor of Miss Edwina of owning the third eye. Having a third eye wasn’t part of Merry’s plans in life. So she seeks for a paranormal expert who can remove the third eye from her."
Six Degrees of Separation from Lilia Cuntapay (2011),A professional horror movie extra prepares for her first ever acting award nomination.
The Road (2011),A 12 year old cold case is reopened when three teens are missing in an old abandoned road where a gruesome murder is left undiscovered for three decades.
Yesterday Today Tomorrow (2011),"It’s a story of people and their secrets that tear them apart...The movie follows a surprising decision that each family member will make in the aftermath of a tragedy… life changing decisions that will either lead them to a future lasting happiness, or one full of despair."
Mother Mameng (2012),"Mother Mameng delves deep into the character of a woman who has experienced extreme poverty and domestic violence and rose from from it all to become the beloved personality, well-known to the Philippine mass movement."
My Kontrabida Girl (2012),"Isabel Reyes (Rhian Ramos) is an infamous soap opera villain in the country. Everyone simply loathes Isabel which makes her the most condemned personality in the world of television. But by some weird twist of fate, Isabel's life turns upside down when she encounters a near-death accident. The wicked antagonist experiences a sudden change of heart and being the top kontrabida of her soap opera, Isabel couldn't just deliver her heartlessness and cruelty in front of the camera. Her over-the-top villainous persona disappears and she finds herself powerless to kick and slap the lead star. Isabel's show hits a major ratings slump and the network advises her to take a break from work with hopes of reigniting her passion. To solve her dilemma, Isabel seeks the help of the biggest kontrabida icon in the country, no less than Ms. Bella Flores. She finds her on YouTube and says that for Isabel to get herself back, she needs to find the person who hurt her the most."
Moron 5 and the Crying Lady (2012),"Half-witted longtime friends Albert, Isaac, Mozart ""Mo"", Michaelangelo ""Mike"" and Aristotle ""Aris"" were used to living moronic yet pretty normal and hassle-free lives until successful career woman Becky Pamintuan accused them of killing her father and ruin everything for them. The Moron 5 are more than sure of their innocence but for the life of them, they can't find any single satisfactory argument on how to prove it especially when their opponent would do everything to punish them for whim."
As He Sleeps (2012),"In sickness and in health, should marriage really be an unconditional partnership that should never be broken? Christina, in her 30's, is married to Hector, a husband who's paralyzed and therefore physically incompetent to consummate their marriage. She wants to liberate herself from a sexless union. Her needs as a woman are unfulfilled. But her love for Hector, and her commitment to him coupled with the dictates of her faith and marital vows, and her sympathy and care for her husband keeps her in ""cage of marriage,"" where she suffers in melancholic solitude, yet contemplates on freedom and rediscovering her true worth. - Written by Lilit Reyes"
Ruweda (2012),"Three people cross paths at a local town carnival, each with something to gain and to lose. One of them acquires it, the other two pay the price."
Senility (2012),Ulian centers on young Dayang and her Grandmother in their journey of self-discoveries in unexpected circumstances. Together they explore each other's consciousness to realize the most important thing about growing old and growing up.
The Healing (2012),A community rushes to a faith healer after learning that one of them was miraculously healed from a deadly disease by the same person. They are torn apart afterwards as the healing brings them a terrible curse that wreaks harm and death.
Just One Summer (2012),"a 2012 Filipino romance-drama film directed by Mac Alejandre, starring one of the hottest Kapuso loveteams in the generation Julie Anne San Jose and Elmo Magalona."
The Mistress (2012),"A young woman is torn between the affections of her two lovers. One is a young bachelor who brings passion into her life. The other is a married man who has kept her as his mistress for years. Architect JD has a chip on his shoulder about his father Rico never really accepting him as his son. Seamstress Sari struggles to take care of her family. The two meet by chance, and JD aggressively pursues Saris affections. Though the two are clearly a good match, there is a problem standing in the way of their bliss: Sari is the mistress of JDs father. Against his better judgment, JD continues to court Sari even after finding out this difficult fact. He hides his true identity as Ricos son, and fights to win Saris heart."
Of All the Things (2012),"Muhlach plays the role of Umboy, a notary public attorney who earns a living by notarizing important documents and other papers, while Velasquez on the other hand plays the role of Berns, a professional documents fixer. Every time Berns needs the help of a notary public, she goes to Umboy to ""legalized"" everything. This ""legalization"" process of documents was somehow Umboy does not agree with Berns. Their different ideology and principles in life have created a cat-and-dog fight situation between the two. But what's supposed to be a misunderstanding between the two of them will likely to create a blossoming relationship. Bound with their principles in life, how do you think the two will end up together — to the dark side where both of them will be living a dishonest life where they fix documents illegally or to the light side where everything else is in correct and honest manner?"
A Secret Affair (2012),"Rafi (Anne Curtis) is happily committed to her lovely partner in life, Mark (Derek Ramsay). She's a bachelorette from a rich family, who belongs to the ""Friday Club"", the regular get-together of her college friends. Rafi is an attention-getter because of her in and out beauty and impressive credentials. But one day, a major life decision shifts everyone's impression of her. Sam (Andi Eigenmann), a rebellious, carefree and happy-go-lucky woman, who thinks that she can get away with her every dilemma. However, her perspectives turn 180 degrees when she meets the man who unexpectedly changes her life."
Suddenly It's Magic (2012),"The story depicts two star-crossed lovers: Marcus Hanson, a Thai superstar, and Joey Hermosa, a Filipina baker. When Marcus decides to fly to Philippines to escape from his career, he meets Joey. Even though their worlds collide, the two later fall in love. But their relationship is tested by conflicts from their worlds."
24/7 In Love (2012),"Jane, a die-hard fan, wants to win tickets to Billy Fernandez's concert. To do this she must answer the question, ""What would you do if it was the end of the world?"" In search for this answer she meets different people with different love stories: a 40-year old virgin named Virgie who meets a gigolo named Charles; a hopeless romantic secretary, Barbara who is helping her boss, Ken with ""personal issues""; Belle who is in love with her gay best-friend, Butch, an active-executive; Verna who falls in love with a waiter named Elvis in Vietnam; Jomar who is trying to court Ayie with the help of a 35 year old mentally-challenged man named Pipoy; Patty who traces her first love, Alvin to become a model for her company."
Rigodon (2012),"A heartbroken young woman begins a sexual relationship with a struggling artista, not knowing that her new beau is already married. As the truth comes out, obsession and jealousy bring pain into all their lives."
Mamay Umeng (2012),"In a quaint provincial town, an elderly man awaits his inevitable fate."
Mater Dolorosa (2012),A woman runs her criminal syndicate all the while taking care of her family.
EDSA XXX: Nothing Ever Changes in the Ever-Changing Republic of Ek-Ek-Ek (2012),"EDSA XXX takes us on a wild ride through the ups and downs, twists and turns in the life of one man’s downfall and the rise to fame of another. The present leader KULOG NEGRO has led the country to progress; his rallying call is championing poverty for the benefit of tourists and film festivals. But the well-meaning leader is a mere puppet in the political arena and someone has just decided that he has to go."
Himala Ngayon (2012),"A 2012 documentary about the making and the legacy of the 1982 drama masterpiece directed by Ishmael Bernal that ended up being one of the greatest Asian films of all time. The revelations about the theory of ""Who killed Elsa?"" will be answered and also, the impact of the film to the Filipino culture and society."
Colossal (2012),Colossal explores the complexities of grief and the process of grieving as understood through the myth of a Man as he ventures through shifting landscapes ruminating.
Sisterakas (2012),A man takes revenge on his sister by hiring her as his personal assistant.
Sosy Problems (2012),"The problems of 4 rich, beautiful women from Manila."
Menor de Edad (2013),"High school student Jen Guilarman lives in misery with her abusive mother and her mom's lesbian lover. Looking for some escape, she aims to join an all-girl gang which first requires her to undergo a sexual rite. Jen only has one man in mind, and that is her teacher Ariel Basco who has always been sympathetic with her. Suddenly, Jen cries rape and gets her teacher arrested. But behind her tragic fate is a dark truth."
A Moment In Time (2013),A painter's new muse becomes his nemesis when he discovers her connection to his past.
The Fighting Chefs (2013),Two warring chefs and their restaurants are threatened by the 3-month deadline imposed to them by Don Manolo to vacate their place for it will be sold to a condominium developer.
Must Be... Love (2013),"A young woman develops romantic feelings for her best friend, but problems arise when another gal enters the picture."
The Bride and the Lover (2013),"In the story, Vivian is sole heir to a business empire. Sheila is Vivian's friend who is a lifestyle magazine editor. Meanwhile, Philip is the hottest bachelor in town engaged to be wed to Vivian. However, a scandalous revelation tears the three characters' worlds apart. Time passes by and the supposed bride becomes the lover and the supposed lover is now the bride."
Four Sisters and a Wedding (2013),"The children of the Salazar family have been pursuing separate lives in the recent years. After a few years of not being together as a whole family, they find themselves reuniting when CJ announces his plan to marry Princess, his girlfriend for three months. Much to their shock and dismay, CJ's sisters come together for the wedding and have agreed to dissuade him from marrying his fiancée."
Tuhog (2013),"Due to a road rage incident between two buses, an accident occurs which puts the lives of its passengers in jeopardy. But the ones greatly affected by such event are a middle-aged woman named Fiesta, an old and retired family patriarch Tonio, and a lad named Caloy. These three people are pierced through a single steel bar – a dangerous situation that even their doctors find hard to solve. But even before this unfortunate circumstance, these three have their share of ill-fated lives."
Ekstra (2013),"A socio-realist drama-comedy ﬁlm, it follows a seemingly usual day in the life of Loida Malabanan as she embarks on yet another shooting day of a soap opera as an extra. As the shoot goes on, we get a glimpse of the truth in the ruling system of the production as well as the exploitation of the marginalized laborers like her."
Jazz in Love (2013),"Jazz in Love tells the story of Jazz, a young man from Davao whose dream wedding is within reach: his boyfriend of 11 months has proposed. Because no law allows him to get married in the Philippines, he must fly to Germany, his boyfriend's home country, and tie the knot there. One of the things that stand in his way is his inability to speak Deutsch, and to address that he must temporarily relocate to Manila for language lessons. Meanwhile, his parents remain completely unaware of the radical changes that his life is about to undergo."
Taya (2013),"A 12 year-old boy learns to play traditional Filipino games through a new set of friends, who will show him that life and their games have many things in common."
Yanan (2013),"Ka Yanan, a member of the revolutionary armed movement, recently died during an encounter with government troops, and is survived by a son and two daughters. In Yanan, the filmmaker shows how the revolutionary’s children, grown into young adulthood, cope with their grief and pay homage to their departed parent. As they ponder their memories of their mother and the cause to which she pledged her life, they find among her possessions poems, letters, and recordings. Kept away for 15 years, the materials reveal aspects of Ka Yanan’s struggles that her children had previously not fully grasped."
Zone 7 (2013),"A countryside dramedy (drama-comedy) that follows 14-year-old Diana and her younger brother who live by themselves after their mother went abroad and their father lived with another woman. Set in a remote purok, where people display positive outlook in life despite daily struggles, the film features the light side of country lifestyle as the main characters take advantage of the fun and thrills of the town festival to take hold of their sweet childhood."
Raketeros (2013),"Raketeros shares the adventures and misadventures of a group of middle-aged male friends Berto, the cable guy; Mando, the billiards player; Mulong, the driver; Julio, the all-around singer; and Andoy the ‘religious.’ The five are gathered to do a simple task of delivering an expensive gown to their rich friend’s mansion. However, a series of hilarious mishaps puts them and their task in jeopardy."
Ang Huling Henya (2013),"Miri is trapped in her past and this time her whole past comes crashing back into her life: old dead secrets, her dead parents, and even the walking dead. Miris return to Manila only brings her back to more trouble the personal kind. Even as a young girl, Miri believed she is responsible for her parents death and the guilt kept her from building healthy relationships with those around her specially with her younger brother Mark. Miri Alvarez, is one of the best agents of an international group organized to protect scientists and inventors from a tech-grabbing group called The Agency. But Miri is hot headed and refuses to follow orders. In one rescue operation, Miris refusal to follow protocol gets her long-time partner killed. Miri is suspended and sent back to Manila."
